year,week,playoff_type,away_team,home_team,away_score,home_score,margin,above_200,matchup_winner,matchup_loser
2016,11,N/A,Jay,Bmas,123.8,107.7,16.1,NO,Jay,Bmas
2016,11,N/A,Jim,Kuch,132,116.7,15.3,NO,Jim,Kuch
2016,11,N/A,Erik,Dickie,130.3,133.8,3.5,NO,Dickie,Erik
2016,12,N/A,Kuch,Jar,73.8,161.3,87.5,NO,Jar,Kuch
2016,12,N/A,Dickie,Jay,156.5,98.7,57.8,NO,Dickie,Jay
2016,12,N/A,Kyle,Bryan,173.3,136.3,37,NO,Kyle,Bryan
2016,12,N/A,Steve,Erik,122.5,142.8,20.3,NO,Erik,Steve
2016,12,N/A,Bmas,Jim,153.5,139.3,14.2,NO,Bmas,Jim
2016,P1,4v1,Jay,Kyle,266.4,225.5,40.9,YES,Jay,Kyle
2016,P1,3v2,Steve,Erik,316,152.7,163.3,YES,Steve,Erik
2016,P1,6v5,Jim,Dickie,195.2,245.9,50.7,YES,Dickie,Jim
2016,P1,8v7,Kuch,Jar,210.3,228.7,18.4,YES,Jar,Kuch
2016,P1,10v9,Bmas,Bryan,257.6,240.7,16.9,YES,Bmas,Bryan
2016,P2,Championship,Steve,Jay,257.9,300.3,42.4,YES,Jay,Steve
2016,P2,Third Place,Kyle,Erik,280.6,232,48.6,YES,Kyle,Erik
2016,P2,C,Jar,Dickie,266.4,206.8,59.6,YES,Jar,Dickie
2016,P2,C,Bmas,Jim,247.1,216.5,30.6,YES,Bmas,Jim
2016,P2,C,Bryan,Kuch,273.2,175.2,98,YES,Bryan,Kuch
2017,1,N/A,Kuch,Kyle,100.4,130.7,30.3,NO,Kyle,Kuch
2017,1,N/A,Erik,Jay,133.1,108.5,24.6,NO,Erik,Jay
2017,1,N/A,Bryan,Jim,109.4,92.8,16.6,NO,Bryan,Jim
2017,1,N/A,Bmas,Steve,133.9,124.4,9.5,NO,Bmas,Steve
2017,1,N/A,Dickie,Jar,100.6,98.5,2.1,NO,Dickie,Jar
2017,2,N/A,Dickie,Kuch,84.4,133.9,49.5,NO,Kuch,Dickie
2017,2,N/A,Steve,Kyle,141.7,99.7,42,NO,Steve,Kyle
2017,2,N/A,Bmas,Bryan,112.8,152.1,39.3,NO,Bryan,Bmas
2017,2,N/A,Jim,Jay,114.4,136.9,22.5,NO,Jay,Jim
2017,2,N/A,Jar,Erik,117.2,133.4,16.2,NO,Erik,Jar
2017,3,N/A,Jim,Jar,71.3,152,80.7,NO,Jar,Jim
2017,3,N/A,Kuch,Erik,174.1,117.7,56.4,NO,Kuch,Erik
2017,3,N/A,Kyle,Bmas,98.6,138.3,39.7,NO,Bmas,Kyle
2017,3,N/A,Steve,Dickie,121.7,138.2,16.5,NO,Dickie,Steve
2017,3,N/A,Jay,Bryan,102.8,99.8,3,NO,Jay,Bryan
2017,4,N/A,Kyle,Jay,133.3,95.1,38.2,NO,Kyle,Jay
2017,4,N/A,Bmas,Dickie,130.3,152.9,22.6,NO,Dickie,Bmas
2017,4,N/A,Bryan,Jar,123.5,138.9,15.4,NO,Jar,Bryan
2017,4,N/A,Kuch,Steve,119.8,134.4,14.6,NO,Steve,Kuch
2017,4,N/A,Erik,Jim,114.3,123.4,9.1,NO,Jim,Erik
2017,5,N/A,Dickie,Kyle,123.3,73.8,49.5,NO,Dickie,Kyle
2017,5,N/A,Steve,Jim,162.5,119.8,42.7,NO,Steve,Jim
2017,5,N/A,Jar,Jay,161.2,122.2,39,NO,Jar,Jay
2017,5,N/A,Bmas,Kuch,120.2,102.2,18,NO,Bmas,Kuch
2017,5,N/A,Bryan,Erik,125.2,137.1,11.9,NO,Erik,Bryan
2017,6,N/A,Erik,Bmas,136.6,99.9,36.7,NO,Erik,Bmas
2017,6,N/A,Jar,Steve,155.8,128.7,27.1,NO,Jar,Steve
2017,6,N/A,Jay,Kuch,119.2,143.9,24.7,NO,Kuch,Jay
2017,6,N/A,Bryan,Dickie,111.7,98.3,13.4,NO,Bryan,Dickie
2017,6,N/A,Jim,Kyle,128.6,125.9,2.7,NO,Jim,Kyle
2017,7,N/A,Bmas,Jay,158.1,72.7,85.4,NO,Bmas,Jay
2017,7,N/A,Steve,Bryan,123.8,100.5,23.3,NO,Steve,Bryan
2017,7,N/A,Dickie,Erik,112.8,132.1,19.3,NO,Erik,Dickie
2017,7,N/A,Kuch,Jim,134,142.4,8.4,NO,Jim,Kuch
2017,7,N/A,Kyle,Jar,153.2,145.6,7.6,NO,Kyle,Jar
2017,8,N/A,Erik,Steve,152.8,190.9,38.1,NO,Steve,Erik
2017,8,N/A,Jim,Bmas,111.2,91.8,19.4,NO,Jim,Bmas
2017,8,N/A,Jar,Kuch,147.8,129.1,18.7,NO,Jar,Kuch
2017,8,N/A,Jay,Dickie,104.7,106.8,2.1,NO,Dickie,Jay
2017,8,N/A,Bryan,Kyle,136.6,136.2,0.4,NO,Bryan,Kyle
2017,9,N/A,Jim,Steve,94.9,144.4,49.5,NO,Steve,Jim
2017,9,N/A,Erik,Kuch,141.6,98.4,43.2,NO,Erik,Kuch
2017,9,N/A,Bryan,Bmas,125.6,156.1,30.5,NO,Bmas,Bryan
2017,9,N/A,Jay,Kyle,108.6,134,25.4,NO,Kyle,Jay
2017,9,N/A,Jar,Dickie,81.9,107,25.1,NO,Dickie,Jar
2017,10,N/A,Kyle,Jim,109.2,159.8,50.6,NO,Jim,Kyle
2017,10,N/A,Kuch,Jay,125.3,100.1,25.2,NO,Kuch,Jay
2017,10,N/A,Steve,Jar,150.2,141.6,8.6,NO,Steve,Jar
2017,10,N/A,Bmas,Erik,108.5,115.2,6.7,NO,Erik,Bmas
2017,10,N/A,Dickie,Bryan,103,107,4,NO,Bryan,Dickie
2017,11,N/A,Erik,Dickie,153,91.1,61.9,NO,Erik,Dickie
2017,11,N/A,Jar,Kyle,203,142.4,60.6,YES,Jar,Kyle
2017,11,N/A,Jay,Bmas,60.2,112.1,51.9,NO,Bmas,Jay
2017,11,N/A,Jim,Kuch,115.5,155.1,39.6,NO,Kuch,Jim
2017,11,N/A,Bryan,Steve,101.8,135.9,34.1,NO,Steve,Bryan
2017,12,N/A,Dickie,Jay,93.1,133.2,40.1,NO,Jay,Dickie
2017,12,N/A,Kuch,Jar,175.6,137.5,38.1,NO,Kuch,Jar
2017,12,N/A,Steve,Erik,141.2,169.2,28,NO,Erik,Steve
